model,group,k,no_mean,no_std,trust_mean,trust_std
dur_3s_equal,duration,95,0.45342315789473686,0.0,0.8994467463724063,0.0
dur_3s_equal,duration,96,0.45380625,0.0,0.8989416270258176,0.0
dur_3s_equal,duration,97,0.4543360824742268,0.0,0.8984314255990868,0.0
dur_3s_equal,duration,98,0.4548204081632653,0.0,0.8978785717266748,0.0
dur_3s_equal,duration,99,0.45533939393939393,0.0,0.8973679481592495,0.0
dur_3s_equal,duration,100,0.455772,0.0,0.8967948786336785,0.0
dur_3s_equal,duration,101,0.4560851485148515,0.0,0.8962681831034227,0.0
dur_3s_equal,duration,102,0.4564156862745098,0.0,0.8957180162772996,0.0
dur_3s_equal,duration,103,0.45668155339805827,0.0,0.8951371121765886,0.0
dur_3s_equal,duration,104,0.4571846153846154,0.0,0.8946221127357491,0.0
dur_3s_equal,duration,105,0.4574552380952381,0.0,0.8940862147157713,0.0
dur_3s_equal,duration,106,0.45785471698113206,0.0,0.8935145530893556,0.0
dur_3s_equal,duration,107,0.45820934579439254,0.0,0.8929753170953311,0.0
dur_3s_equal,duration,108,0.4586240740740741,0.0,0.8924419372382661,0.0
dur_3s_equal,duration,109,0.45890275229357796,0.0,0.8919441917590784,0.0
dur_3s_equal,duration,110,0.45939090909090907,0.0,0.8914751316302912,0.0
dur_3s_equal,duration,111,0.45986126126126126,0.0,0.8909099470101941,0.0
dur_3s_equal,duration,112,0.4602410714285714,0.0,0.8903519935168134,0.0
dur_3s_equal,duration,113,0.460729203539823,0.0,0.8898504456049282,0.0
dur_3s_equal,duration,114,0.4609947368421053,0.0,0.8893290608230552,0.0
dur_3s_equal,duration,115,0.4613791304347826,0.0,0.8888253507841056,0.0
dur_3s_equal,duration,116,0.46159655172413794,0.0,0.8882840642587926,0.0
dur_3s_equal,duration,117,0.4618769230769231,0.0,0.8877755915918097,0.0
dur_3s_equal,duration,118,0.46216440677966103,0.0,0.8872778249838615,0.0
dur_3s_equal,duration,119,0.46247563025210087,0.0,0.8867546462753836,0.0
dur_3s_equal,duration,120,0.46280333333333334,0.0,0.886225560087486,0.0
dur_3s_equal,duration,121,0.4630297520661157,0.0,0.8857562667777198,0.0
dur_3s_equal,duration,122,0.46331639344262293,0.0,0.8852485014633711,0.0
dur_3s_equal,duration,123,0.4635983739837398,0.0,0.8846951676799184,0.0
dur_3s_equal,duration,124,0.4638048387096774,0.0,0.8842134648421301,0.0
dur_3s_equal,duration,125,0.463968,0.0,0.883670625889047,0.0
dur_3s_equal,duration,126,0.4641349206349206,0.0,0.8831646857165448,0.0
dur_3s_equal,duration,127,0.46439212598425195,0.0,0.8826596476081288,0.0
dur_3s_equal,duration,128,0.4646171875,0.0,0.8821477265138024,0.0
dur_3s_equal,duration,129,0.46488372093023256,0.0,0.8815790811863099,0.0
dur_3s_equal,duration,130,0.46520153846153844,0.0,0.8810763626223423,0.0
dur_3s_equal,duration,131,0.4654625954198473,0.0,0.880578057497465,0.0
dur_3s_equal,duration,132,0.4656757575757576,0.0,0.8801315411837454,0.0
dur_3s_equal,duration,133,0.4658255639097744,0.0,0.8796391040100251,0.0
dur_3s_equal,duration,134,0.46603731343283583,0.0,0.8792089107793176,0.0
dur_3s_equal,duration,135,0.46628592592592594,0.0,0.8787502509302295,0.0
dur_3s_equal,duration,136,0.4665264705882353,0.0,0.8783023898702746,0.0
dur_3s_equal,duration,137,0.4667532846715328,0.0,0.877835998934108,0.0
dur_3s_equal,duration,138,0.4669536231884058,0.0,0.8773451463763791,0.0
dur_3s_equal,duration,139,0.46716402877697843,0.0,0.8768666405463948,0.0
dur_3s_equal,duration,140,0.4674014285714286,0.0,0.8764109048387234,0.0
dur_3s_equal,duration,141,0.4675801418439716,0.0,0.8758914547656115,0.0
dur_3s_equal,duration,142,0.4677619718309859,0.0,0.875430266989821,0.0
